"","Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Region","IncomeGroup","TableName"
"14","Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8858006036,8792365811,4991350458,3970953396,3313939554,3052467522,3176703092,3962735257,4446370371,4581246713,5272617196,5707720391,6235856820,7276013032,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074468085,37867518957,40865558912,46939529412,NA,"Europe & Central Asia","Upper middle income","Azerbaijan"
"15","Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD",195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2959185295,3172416146,3078029929,NA,"Sub-Saharan Africa","Low income","Burundi"
"16","Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD",11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26849148286,29981290025,37408591330,47999363072,56333010460,66029748931,71494539498,83283328419,101788000000,116938000000,127508000000,105291000000,92588895020,87650915976,83795680815,86730038793,120661000000,150194000000,163168000000,165100000000,206431000000,211638000000,236038000000,225925000000,246195000000,289567000000,281358000000,254814000000,260602000000,260202000000,237905000000,237842000000,258860000000,319003000000,370885000000,387366000000,409813000000,471821000000,518626000000,484553000000,483548000000,527008000000,497884000000,520925000000,530808000000,455940000000,469677000000,494902000000,531767000000,NA,"Europe & Central Asia","High income","Belgium"
"17","Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD",226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901,504376035.7,554654787,676870140.3,698408244.4,750049739.2,928843304.8,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697,9246696924,10358985583,NA,"Sub-Saharan Africa","Low income","Benin"
"18","Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD",330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279,578595584,674773821.2,751133642.6,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,2993753187,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5816310158,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,10886363727,12322864245,14441763759,NA,"Sub-Saharan Africa","Low income","Burkina Faso"
"19","Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD",4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,102478000000,115279000000,128638000000,133356000000,149990000000,172885000000,195079000000,221415000000,249724000000,274025000000,NA,"South Asia","Lower middle income","Bangladesh"
"20","Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,18867559524,12184935357,11211546465,14942172234,13531969309,13153016531,14075616789,16276456428,20982685981,25957970922,29636617750,34130122491,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55555171010,56814543481,50201314895,53240950226,58220973783,65132951116,NA,"Europe & Central Asia","Upper middle income","Bulgaria"
"21","Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32250132979,35432686170,37746196809,NA,"Middle East & North Africa","High income","Bahrain"
"22","Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD",169803921.6,190098039.2,212254902,237745098,266666666.7,300392156.9,340000000,390196078.4,444901960.8,528137254.9,538423153.7,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000,NA,NA,"Latin America & Caribbean","High income","Bahamas, The"
"23","Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255802469,1866572954,2786045322,3671816504,4116699437,4685733115,5505887894,5748993411,6651106833,8369878823,10596205714,11222953519,12864610994,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16211541253,16913330694,18080118128,19781776101,NA,"Europe & Central Asia","Upper middle income","Bosnia and Herzegovina"
"24","Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,58665088956,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,59662495092,NA,"Europe & Central Asia","Upper middle income","Belarus"
"25","Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD",28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.3,118066298.3,96905829.6,117650000,136300000,151800000,197938222.4,196089854.7,182206327,192103186,214381949,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,412086445.5,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114202700,1217442150,1290542550,1368625150,1335217500,1396731700,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800,1925000000,NA,"Latin America & Caribbean","Upper middle income","Belize"
"26","Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD",84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,NA,NA,NA,NA,NA,NA,"North America","High income","Bermuda"
"27","Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD",373879363.6,406684585.7,444665186.4,478805990.1,539491477.3,604377104.4,669191919.2,755808080.8,857912457.9,929629629.6,1017003367,1095622896,1257615645,1262968516,2100249875,2404697651,2731984008,3227436282,3758220890,4421343606,4526916803,5872756933,5587490265,5422440962,6169501038,5377277407,3958338883,4323623622,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631451,23963033588,27084497540,30659338784,32996188133,33000198263,33941126194,37508642258,40287647757,NA,"Latin America & Caribbean","Lower middle income","Bolivia"
"28","Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD",15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,105136000000,123709000000,152678000000,176171000000,200801000000,224969000000,235025000000,263561000000,281682000000,203305000000,209024000000,222943000000,268137000000,294084000000,330397000000,425595000000,461952000000,602860000000,400599000000,437799000000,558112000000,769305000000,850426000000,883200000000,863723000000,599389000000,655421000000,559372000000,507962000000,558320000000,669317000000,891630000000,1107640000000,1397080000000,1695820000000,1667020000000,2208870000000,2616200000000,2465190000000,2472810000000,2455990000000,1802210000000,1796280000000,2053590000000,1868630000000,NA,"Latin America & Caribbean","Upper middle income","Brazil"
"29","Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311809337.5,402178605,435911268.6,495097667.9,552883707.1,670362452.1,860388803.3,946949734,989409834.4,1050514593,1144931139,1198329439,1315616765,1448714762,1540893949,1703972555,2023318252,2007109829,1950900000,2046189032,2151295182,2261969870,2411872918,2549296475,2874459305,3012081738,3121500000,3116650000,3169600000,3274850000,3514350000,3897300000,4176500000,4672250000,4782000000,4479950000,4529900000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4673500000,NA,NA,"Latin America & Caribbean","High income","Barbados"
"30","Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17098342541,12930394938,11400653949,12128089000,13567099498,NA,"East Asia & Pacific","High income","Brunei Darussalam"
"31","Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1976938530,2059809920,2219675781,2528007911,2534965163,NA,"South Asia","Lower middle income","Bhutan"
"32","Botswana","BWA","GDP (current US$)","NY.GDP.MKTP.CD",30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.4,165258093.9,244129088,306033848.4,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829,1073861599,1014907255,1172258182,1240796365,1114764007,1392634772,1965274882,2644536804,3083800685,3790567052,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267133178,12786654366,15351972230,16067155187,14901750765,16250750259,14420604206,15646323341,17406565823,18616018903,NA,"Sub-Saharan Africa","Upper middle income","Botswana"
"33","Central African Republic","CAF","GDP (current US$)","NY.GDP.MKTP.CD",112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437,188039191.3,189106554.5,201450768.4,230317908,271183061.4,281398668.2,378660016.3,451152450,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,2059094048,2140503193,2434792413,2510270268,1700627480,1904794555,1709221159,1844714795,2167501640,2379716827,NA,"Sub-Saharan Africa","Low income","Central African Republic"
"34","Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD",NA,41555987615,42868091993,45713151050,50126643039,55342244543,62015172913,66664932951,72919560567,80349194244,87896095224,99271961478,113083000000,131322000000,160409000000,173834000000,206576000000,211612000000,218633000000,243072000000,273854000000,306215000000,313507000000,340548000000,355373000000,364756000000,377438000000,431317000000,507354000000,565056000000,593930000000,610328000000,592388000000,577171000000,578139000000,604032000000,628546000000,652824000000,631813000000,676084000000,742295000000,736380000000,757951000000,892382000000,1023200000000,1169360000000,1315420000000,1464980000000,1549130000000,1371150000000,1613540000000,1789140000000,1823970000000,1842020000000,1801480000000,1552900000000,1526710000000,1646870000000,1712510000000,NA,"North America","High income","Canada"
"35","Central Europe and the Baltics","CEB","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261333000000,242272000000,258231000000,271639000000,308131000000,392061000000,414792000000,408930000000,447705000000,433965000000,427647000000,468052000000,527314000000,632736000000,761578000000,884976000000,1000880000000,1264560000000,1530310000000,1287790000000,1312310000000,1445170000000,1351020000000,1421920000000,1464720000000,1287360000000,1315630000000,1455570000000,1631300000000,NA,"","","Central Europe and the Baltics"
"36","Switzerland","CHE","GDP (current US$)","NY.GDP.MKTP.CD",9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119008000000,108994000000,111711000000,111314000000,106285000000,107766000000,154482000000,193466000000,209298000000,202079000000,258067000000,261114000000,271814000000,264353000000,292647000000,342617000000,330092000000,286519000000,295045000000,289912000000,272055000000,278631000000,301417000000,352915000000,394164000000,408689000000,430921000000,479913000000,554363000000,541507000000,583783000000,699580000000,668044000000,688504000000,709183000000,679832000000,670181000000,678965000000,705501000000,NA,"Europe & Central Asia","High income","Switzerland"
"37","Channel Islands","CHI","GDP (current US$)","NY.GDP.MKTP.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe & Central Asia","High income","Channel Islands"
"38","Chile","CHL","GDP (current US$)","NY.GDP.MKTP.CD",4110000000,4609727273,5416272727,5668187500,5982347826,6026593750,7072641026,7013196078,7167086957,8377093023,9126309735,10884114754,11853817308,16836261173,16210404184,7622217352,10341925249,13962893422,15989933708,21803696985,29036709872,34509878044,25325893206,20355959237,19622527480,17702885394,18891048819,22255407685,26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,122965000000,154788000000,173606000000,179638000000,172389000000,218538000000,252252000000,267122000000,278384000000,260542000000,243919000000,250340000000,277746000000,298231000000,NA,"Latin America & Caribbean","High income","Chile"
"39","China","CHN","GDP (current US$)","NY.GDP.MKTP.CD",59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,113688000000,138544000000,144182000000,163432000000,153940000000,174938000000,149541000000,178281000000,191149000000,195866000000,205090000000,230687000000,259947000000,309488000000,300758000000,272973000000,312354000000,347768000000,360858000000,383373000000,426916000000,444731000000,564325000000,734548000000,863747000000,961604000000,1029040000000,1094000000000,1211350000000,1339400000000,1470550000000,1660290000000,1955350000000,2285970000000,2752130000000,3550340000000,4594310000000,5101700000000,6087160000000,7551500000000,8532230000000,9570410000000,10438500000000,11015500000000,11137900000000,12143500000000,13608200000000,NA,"East Asia & Pacific","Upper middle income","China"
